,id,iscrowd,image_id,category_id,XMin,XMax,YMin,YMax,area,width,height,ImageID
0,0,0,1,1,259.30952380952374,1621.2321428571431,113.13095238095241,2741.2500000000005,3424130.5341730453,1911,2924,203_b_ultra_present.jpg
1,1,0,2,1,194.55952380952382,1408.1845238095236,169.2470238095238,2575.857142857142,2873580.5272064544,1611,2774,204_b_ultra_present.jpg
2,2,0,3,1,145.61607142857156,1090.6011904761904,65.73809523809523,5374.089285714284,4749933.095459537,1228,5522,205_b_ultra_present.jpg
3,3,0,4,1,243.46428571428578,1594.7619047619046,148.13690476190476,2218.440476190476,2678069.6766581624,1831,2428,206_b_ultra_present.jpg
4,4,0,5,1,252.82589285714297,1538.8214285714284,1178.3571428571427,3569.062499999999,2846278.405711894,1718,3807,207_b_ultra_present.jpg
5,5,0,5,1,201.83928571428584,530.4196428571429,101.97321428571426,1110.3749999999998,290549.2293726083,1718,3807,207_b_ultra_present.jpg
6,6,0,5,1,587.0714285714287,926.9821428571429,113.3035714285714,1116.0401785714284,325676.3840780451,1718,3807,207_b_ultra_present.jpg
7,7,0,5,1,960.9732142857142,1521.8258928571427,118.96874999999997,1116.0401785714284,522494.3614477037,1718,3807,207_b_ultra_present.jpg
8,8,0,6,1,1029.1940389826466,1343.3763497274572,494.9831384849777,839.5325127218516,50187.38750686776,2947,3061,208_b_ultra_present.jpg
9,9,0,6,1,1226.5799516810594,1571.1293259179333,392.20230820414747,707.552582929422,70247.06414318661,2947,3061,208_b_ultra_present.jpg
10,10,0,6,1,1275.6344388605464,1455.5008918519993,820.845106856144,937.6415049025419,15052.601281432202,2947,3061,208_b_ultra_present.jpg
11,11,0,6,1,1363.231737395345,1527.914658640766,921.2900091760462,1049.766047027084,13020.714960466772,2947,3061,208_b_ultra_present.jpg
12,12,0,6,1,1409.9502966139041,1794.2104461865533,570.9008150368524,929.4657570392941,68878.83186394628,2947,3061,208_b_ultra_present.jpg
13,13,0,6,1,1456.6688558324631,1713.6209315345386,1047.430083422724,1252.9917439843844,31886.08714965214,2947,3061,208_b_ultra_present.jpg
14,14,0,6,1,908.8937489948568,1224.2440237201313,1494.7603592272922,1862.6690130734455,72811.64707934973,2947,3061,208_b_ultra_present.jpg
15,15,0,6,1,1096.9359498495573,1475.3562795198868,1325.405510773151,1696.8180565606965,84191.98385857383,2947,3061,208_b_ultra_present.jpg
16,16,0,6,1,792.0973509484588,1036.2018228654306,1688.6423799843126,1985.3052310221635,34261.73671525227,2947,3061,208_b_ultra_present.jpg
17,17,0,6,1,1248.771267309875,1477.692207480815,2283.136046040478,2548.2638696058016,34344.94924669163,2947,3061,208_b_ultra_present.jpg
18,18,0,6,1,1405.2784406920482,1567.6254339765412,2505.0492023286342,2679.0758354177674,21927.184104195156,2947,3061,208_b_ultra_present.jpg
